"","y","m","grupo","valor","peso","my"
"367",2014,11,"Oro",99430622.48,3285.64,Nov 2014
"368",2014,12,"Bananas",63862311.26,145862785.3,Dec 2014
"369",2014,12,"Carbon",540404640.97,8086214400,Dec 2014
"370",2014,12,"Ferroníquel",87418123.32,199524404,Dec 2014
"371",2014,12,"Flores",75318572.39,15236132.52,Dec 2014
"372",2014,12,"Oro",155723087.6,5163.57,Dec 2014
"373",2015,1,"Bananas",52589639.34,120068816.66,Jan 2015
"374",2015,1,"Carbon",363661977.94,5530916210,Jan 2015
"375",2015,1,"Ferroníquel",94282219.89,218575126,Jan 2015
"376",2015,1,"Flores",104610487.04,20670194.21,Jan 2015
"377",2015,1,"Oro",78542329.44,2636.27,Jan 2015
"378",2015,2,"Bananas",75009873.72,173521077.2,Feb 2015
"379",2015,2,"Carbon",383736271.84,5994897690,Feb 2015
"380",2015,2,"Ferroníquel",35972201.28,110071510,Feb 2015
"381",2015,2,"Flores",101319368.03,17930409.74,Feb 2015
"382",2015,2,"Oro",36607208.59,1177.72,Feb 2015
"383",2015,3,"Bananas",79364310.83,170030552.41,Mar 2015
"384",2015,3,"Carbon",442066294.55,7210025900,Mar 2015
"385",2015,3,"Ferroníquel",118828157.08,231825986.6,Mar 2015
"386",2015,3,"Flores",134125368.28,19652519.16,Mar 2015
"387",2015,3,"Oro",69293366.88,2337.8,Mar 2015
"388",2015,4,"Bananas",93325586.57,207307481.27,Apr 2015
"389",2015,4,"Carbon",396633511.34,6504809090,Apr 2015
"390",2015,4,"Ferroníquel",48046541.28,124631336.45,Apr 2015
"391",2015,4,"Flores",98748698.12,17786931.7,Apr 2015
"392",2015,4,"Oro",97901472.98,3605.96,Apr 2015
"393",2015,5,"Bananas",61819707.51,135338882.11,May 2015
"394",2015,5,"Carbon",286166419.67,4754320180,May 2015
"395",2015,5,"Ferroníquel",42451594.55,111485207,May 2015
"396",2015,5,"Flores",129383341.07,23648118.59,May 2015
"397",2015,5,"Oro",60949865.49,2135.24,May 2015
"398",2015,6,"Bananas",63379480.71,138946777.96,Jun 2015
"399",2015,6,"Carbon",341872138.53,5957176070,Jun 2015
"400",2015,6,"Ferroníquel",69468976.34,201734669.1,Jun 2015
"401",2015,6,"Flores",86648160.46,16498224.49,Jun 2015
"402",2015,6,"Oro",103074865.08,3550.91,Jun 2015
"403",2015,7,"Bananas",42584721.57,94409861.49,Jul 2015
"404",2015,7,"Carbon",340664717.42,5726663820,Jul 2015
"405",2015,7,"Ferroníquel",70225527.03,187146642,Jul 2015
"406",2015,7,"Flores",96235851.1,19424794.38,Jul 2015
"407",2015,7,"Oro",88986523.8,3007.35,Jul 2015
